2026/06/10 16:35:42.873, 48, 10.78, 0, 0, [N/A], [N/A]
2026/06/10 16:35:43.897, 48, 10.82, 0, 0, [N/A], [N/A]
2026/06/10 16:35:44.923, 48, 10.88, 0, 0, [N/A], [N/A]
2026/06/10 16:35:45.947, 48, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:35:46.971, 47, 10.82, 0, 0, [N/A], [N/A]
2026/06/10 16:35:47.996, 47, 10.82, 0, 0, [N/A], [N/A]
2026/06/10 16:35:49.024, 47, 10.77, 0, 0, [N/A], [N/A]
2026/06/10 16:35:50.049, 47, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:35:51.074, 47, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:35:52.099, 47, 10.81, 0, 0, [N/A], [N/A]
2026/06/10 16:35:53.124, 47, 10.80, 0, 0, [N/A], [N/A]
2026/06/10 16:35:54.151, 47, 10.79, 0, 0, [N/A], [N/A]
2026/06/10 16:35:55.175, 47, 10.84, 0, 0, [N/A], [N/A]
2026/06/10 16:35:56.201, 47, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:35:57.226, 47, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:35:58.251, 47, 10.86, 0, 0, [N/A], [N/A]
2026/06/10 16:35:59.276, 47, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:36:00.300, 47, 10.86, 0, 0, [N/A], [N/A]
2026/06/10 16:36:01.324, 47, 10.93, 0, 0, [N/A], [N/A]
2026/06/10 16:36:02.349, 47, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:36:03.374, 47, 10.90, 0, 0, [N/A], [N/A]
2026/06/10 16:36:04.400, 47, 10.91, 0, 0, [N/A], [N/A]
2026/06/10 16:36:05.425, 47, 10.93, 0, 0, [N/A], [N/A]
2026/06/10 16:36:06.450, 46, 10.95, 0, 0, [N/A], [N/A]
2026/06/10 16:36:07.475, 46, 10.87, 0, 0, [N/A], [N/A]
2026/06/10 16:36:08.500, 46, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:36:09.523, 46, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:36:10.549, 46, 10.83, 0, 0, [N/A], [N/A]
2026/06/10 16:36:11.574, 46, 10.85, 0, 0, [N/A], [N/A]
2026/06/10 16:36:12.598, 46, 10.82, 0, 0, [N/A], [N/A]
